,fii,dii,nifty,ndq,fx,nifty_ret,ndq_ret,fx_ret,fx_ret_next
2026-03-26,-4367.3,3566.15,,21408.080078125,94.6937026977539,0.0,-2.3791359297075876,0.41782193437729376,-0.9237417966904471
2026-03-31,-8331.15,7171.8,,21590.630859375,93.48429870605469,0.0,3.827862422484163,-0.9237417966904471,-0.9003626325717717
2026-04-01,-8331.15,7171.8,22679.4,21840.94921875,92.6426010131836,1.5583438566323604,1.1593841838405838,-0.9003626325717717,0.3572884160400136
2026-04-02,-9931.13,7208.41,22713.1,21879.1796875,92.97360229492188,0.14859299628737777,0.17504032616484366,0.3572884160400136,-0.6304055122134167
2026-04-08,-2811.97,4168.17,23997.35,22634.990234375,92.2748031616211,3.7783827380192925,2.8029105291791367,-0.6304055122134167,0.21132496428377667
2026-04-09,-1711.19,955.9,23775.1,22822.419921875,92.46980285644531,-0.926143928392098,0.8280528754784022,0.21132496428377667,0.0
2026-04-10,672.09,410.05,24050.6,22902.890625,,1.1587753574117565,0.3525949632005032,0.0,0.23764727559345555
2026-04-15,666.15,-568.98,24231.3,24016.01953125,93.38680267333984,1.6300620946077649,1.5945605830651965,0.23764727559345555,0.0
2026-04-17,683.2,-4721.48,24353.55,24468.48046875,,0.6480209118993274,1.5175945510511601,0.0,0.5360687982266965
2026-04-21,-1918.99,2221.27,24576.6,24259.9609375,93.622802734375,0.8690798424779933,-0.5918184547990535,0.5360687982266965,0.18980015854843657
2026-04-22,-2078.36,-1048.17,24378.1,24657.5703125,93.80049896240234,-0.8076788489864373,1.6389530717891398,0.18980015854843657,0.0
2026-04-24,-8827.87,4700.71,23897.95,24836.599609375,,-1.1380442269386726,1.6289854507232526,0.0,0.008701934460275673
2026-04-27,-1151.48,4123.92,24092.7,24887.099609375,94.25849914550781,0.8149234557775831,0.20332896126786792,0.008701934460275673,0.4105741562893339
2026-04-28,-2103.74,1712.01,23995.7,24663.80078125,94.64550018310547,-0.40261157944107007,-0.8972472953050814,0.4105741562893339,-0.16593642795715846
2026-04-30,-8047.86,3487.1,23997.55,24892.310546875,94.75910186767578,-0.7449028338155417,0.887886270384497,-0.16593642795715846,0.37554085391529046
2026-05-04,2835.62,4764.16,24119.3,25067.80078125,95.2593994140625,0.5073434579780045,-0.18570461013891482,0.37554085391529046,-0.6040962738659506
2026-05-06,-5834.9,6836.87,24330.95,25838.939453125,94.60800170898438,1.2405961852135494,2.0248201219420503,-0.6040962738659506,-0.37523607995186836
2026-05-07,-340.89,441.07,24326.65,25806.19921875,94.25299835205078,-0.017672963858783586,-0.12670889389402307,-0.37523607995186836,0.2532723374652601
2026-05-12,-1959.39,7990.32,23379.55,26088.19921875,95.63300323486328,-1.8319732447088732,-0.7076604802653486,0.2532723374652601,0.30705335920893084
2026-05-19,-2457.49,3801.68,23618.0,25870.7109375,96.56580352783203,-0.13509542303472566,-0.8432862066224178,0.30705335920893084,-0.03883994348455877
2026-05-20,-1597.35,1968.35,23659.0,26270.359375,96.5282974243164,0.173596409518173,1.5447910900689754,-0.03883994348455877,-0.3671468825434232
2026-05-21,-1891.21,2492.42,23654.7,26293.099609375,96.17389678955078,-0.018174901728729154,0.08656232695711807,-0.3671468825434232,0.0
2026-05-22,-4440.47,6003.53,23719.3,26343.970703125,,0.27309583296342144,0.1934769749697418,0.0,-0.48756805476358744
2026-05-25,821.75,3856.88,24031.7,,95.25279998779297,1.3170709085006838,0.0,-0.48756805476358744,0.0
2026-05-29,-21105.86,16764.14,23547.75,26972.619140625,,-1.5033159535954743,0.2048797158850313,0.0,-0.30182576602431066
2026-06-02,-8362.92,9589.32,23483.55,27093.900390625,95.26300048828125,0.43173128736753164,0.026174524083333317,-0.30182576602431066,0.9463242629208723
2026-06-03,-5616.56,5740.89,23405.6,26853.98046875,96.16449737548828,-0.33193448179683616,-0.8855126741294739,0.9463242629208723,-0.38912376582503905
2026-06-04,-4447.06,4360.14,23416.55,26830.9609375,95.79029846191406,0.04678367570154496,-0.08572111414465455,-0.38912376582503905,0.0
2026-06-05,-8776.25,9133.57,23366.7,25709.4296875,,-0.21288362290772245,-4.179989127532524,0.0,-0.0963567464775772
2026-06-08,-5555.67,5165.24,23123.0,25929.662109375,95.697998046875,-1.0429371712736502,0.8566211874473373,-0.0963567464775772,
