symbol,effective_from,effective_to,index_name,source,notes
360ONE,2025-09-30,,NIFTY200,niftyindices_pr_scraped,
AARTIIND,2020-06-26,2022-05-03,NIFTY200,niftyindices_pr_scraped,
ABB,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
ABB,2022-03-31,,NIFTY200,niftyindices_pr_scraped,
ABBOTINDIA,2022-03-31,2023-09-28,NIFTY200,niftyindices_pr_scraped,
ABCAPITAL,2018-04-02,,NIFTY200,niftyindices_pr_scraped,
ABFRL,2018-01-01,2025-09-29,NIFTY200,niftyindices_pr_scraped,
ACC,2018-01-01,2026-03-29,NIFTY200,niftyindices_pr_scraped,
ADANIENSOL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ADANIENT,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
ADANIENT,2020-09-25,,NIFTY200,niftyindices_pr_scraped,
ADANIGREEN,2020-09-25,,NIFTY200,niftyindices_pr_scraped,
ADANIPORTS,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ADANIPOWER,2018-01-01,2020-09-24,NIFTY200,niftyindices_pr_scraped,
ADANIPOWER,2023-03-31,,NIFTY200,niftyindices_pr_scraped,
AIAENG,2018-01-01,2018-09-27,NIFTY200,niftyindices_pr_scraped,
AJANTPHARM,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
ALBK,2019-09-27,2019-12-26,NIFTY200,niftyindices_pr_scraped,
ALKEM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
AMARAJABAT,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
AMBUJACEM,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
APLAPOLLO,2023-09-29,,NIFTY200,niftyindices_pr_scraped,
APLLTD,2020-09-25,2022-09-29,NIFTY200,niftyindices_pr_scraped,
APOLLOHOSP,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
APOLLOTYRE,2018-01-01,2022-09-29,NIFTY200,niftyindices_pr_scraped,
APOLLOTYRE,2023-03-31,2025-09-29,NIFTY200,niftyindices_pr_scraped,
ASHOKLEY,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ASIANPAINT,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ASTRAL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
ATGL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
AUBANK,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
