"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIPOWER",45,65.83,141.85,2962.53,6383.25,3420.72,115.47,-0.77,""
"APLLTD",30,895.07,799.95,26852.1,23998.5,-2853.6,-10.63,-1.82,""
"AWL",5,393.88,222.98,1969.4,1114.9,-854.5,-43.39,-2.14,""
"BAJAJHIND",500,17.27,17.55,8635,8775,140,1.62,-2.66,""
"BANDHANBNK",50,246.29,144.03,12314.5,7201.5,-5113,-41.52,-0.66,""
"ETERNAL",9,129.37,284.4,1164.33,2559.6,1395.27,119.83,0.32,""
"INFY",3,1300,1615,3900,4845,945,24.23,0.11,""
"JIOFIN",52,252.6,287.25,13135.2,14937,1801.8,13.72,-2.1,""
"REPCOHOME",80,471.18,418.2,37694.4,33456,-4238.4,-11.24,-0.65,""
"TANLA",26,948.2,503.85,24653.2,13100.1,-11553.1,-46.86,-1.92,""
"TATAELXSI",14,7196.65,5691,100753.1,79674,-21079.1,-20.92,-0.45,""
"TATAPOWER",7,218.79,364.85,1531.53,2553.95,1022.42,66.76,-2.5,""
"TATASTEEL",200,114.14,178.4,22828,35680,12852,56.3,-0.95,""
"TMCV",5,102.07,431.85,510.35,2159.25,1648.9,323.1,-0.77,""
"TMPV",5,225.6,354.3,1128,1771.5,643.5,57.05,-1.42,""
